Fecha,Región,Calidad,Temperatura_media,Lluvias_mm,Altitud_msnm,pH_suelo,Variedad,Nivel_sombra,Certificación,Precio_anterior,Demanda
2020-01-01 00:00:00,Nariño,1,21.60886845297167,80.97158443934437,2028.3702273247097,7.042975348677188,Geisha,43.96600503613972,Sí,1.4919657645197335,433
2020-01-01 01:00:00,Antioquia,1,24.962692530109262,52.70689543125188,1656.3375897410501,7.087480246745204,Castillo,54.52490721962059,Sí,0.9615267321570431,94
2020-01-01 02:00:00,Huila,1,23.505022103699936,134.71662847713927,1370.0869836554036,6.661166667683482,Castillo,15.973703210636092,No,0.9027174779810772,178
2020-01-01 03:00:00,Nariño,3,23.98599530018752,116.3618647300966,1999.4810667051092,7.100763029708794,Caturra,25.811494121258942,No,1.1296441117116003,334
2020-01-01 04:00:00,Cauca,5,22.149957196410995,124.86655747000287,1594.5493074461742,5.553881391142612,Typica,39.54032943483427,Sí,1.162583383120323,172
2020-01-01 05:00:00,Tolima,4,20.437515265905333,43.851517401852306,1999.7114319780562,7.385184353075243,Castillo,31.374174274372493,No,0.9241900500974324,283
2020-01-01 06:00:00,Caldas,2,24.938887291995826,131.02278439521922,1171.5911477560142,7.241154500955926,Typica,47.26628848789198,No,1.0448033986232974,211
2020-01-01 07:00:00,Cauca,1,19.708140672276574,97.46587246803905,1592.0622449164844,5.603894603575951,Geisha,62.05865383479526,No,1.0047938342398695,79
2020-01-01 08:00:00,Caldas,5,24.109718622075924,110.70237849443205,1096.4475604017575,6.338652222063937,Typica,53.174872365803495,Sí,1.3190320772329298,370
2020-01-01 09:00:00,Nariño,2,24.379109342708297,46.86332652363047,1777.7000498453585,7.3389532644128685,Geisha,71.93665808336846,No,1.1418177989059972,141
2020-01-01 10:00:00,Antioquia,5,23.722883468029135,36.75232731174171,1621.647407958004,6.525588771966985,Bourbon,60.108085370870874,Sí,1.3440992614111638,214
2020-01-01 11:00:00,Caldas,2,18.7985881158719,61.22722766176667,1578.3996589260496,5.682901661522955,Caturra,33.35296237934052,No,0.8643949457303631,251
2020-01-01 12:00:00,Nariño,5,23.978791049149322,86.28190923168074,1694.7511751541506,7.433041355847233,Typica,19.597526964566654,No,1.021248425918435,140
2020-01-01 13:00:00,Huila,4,22.646445577275657,99.89803678598768,1325.5640804892582,6.216985295292757,Typica,61.17527185761379,Sí,1.0088046353454292,209
2020-01-01 14:00:00,Tolima,5,22.76576782335801,74.69468276696789,1068.7671115428334,6.532494959298058,Typica,26.95620049575167,No,1.120862561805817,494
2020-01-01 15:00:00,Antioquia,5,23.505721039494258,104.82963449385977,1928.9777873252033,6.763909918682684,Caturra,35.49322345792624,Sí,1.0821017633456933,302
2020-01-01 16:00:00,Antioquia,1,21.433761360136884,106.24973597192277,1338.1176812804151,7.16487312695852,Bourbon,73.61618281986907,No,0.9827307386067005,295
2020-01-01 17:00:00,Huila,1,19.870100404025997,99.9111778604385,2184.510585006228,7.2462429787435845,Caturra,27.593116308505905,Sí,1.372526632794755,445
2020-01-01 18:00:00,Antioquia,1,22.02452524155817,37.66327018870731,1473.403051758955,6.806181207672272,Castillo,53.02682470869887,Sí,1.4346991154567892,350
2020-01-01 19:00:00,Nariño,5,18.760728184594612,66.94927334751306,1486.0197477807637,7.39683606919283,Caturra,17.5859572057999,No,1.3425591472190197,437
2020-01-01 20:00:00,Antioquia,4,22.72363573682675,114.86223175398898,1748.945815867794,5.938036398963558,Castillo,43.32315918763694,Sí,1.2903573228884768,473
2020-01-01 21:00:00,Antioquia,2,21.38058654311427,133.044216761346,1733.4320507595103,7.309667987699576,Typica,88.42216694751107,No,1.212251729516728,331
2020-01-01 22:00:00,Antioquia,1,21.51631665650671,75.1756692436545,1052.7262487815094,5.880185505849266,Bourbon,86.3506256782924,Sí,1.0350077996282212,321
2020-01-01 23:00:00,Nariño,3,19.300754658136665,148.01861095734694,1181.234412242709,7.288881185163085,Geisha,85.72754411283321,No,1.442931987389472,231
2020-01-02 00:00:00,Cauca,5,18.288979796038507,26.206898313817085,1124.1229559792075,5.931769174275024,Bourbon,57.61292258718592,Sí,1.2540428869710403,315
2020-01-02 01:00:00,Tolima,4,22.278888492097348,33.656866002827876,874.7671661112229,6.938498246674037,Castillo,33.575471604725415,No,1.422629340239143,455
2020-01-02 02:00:00,Caldas,4,22.61181659738814,69.11269600620535,831.3755775937091,7.133915877258996,Bourbon,38.396131743356094,No,1.1170274961385434,54
2020-01-02 03:00:00,Cauca,1,21.48804366686567,76.31108678372475,1702.9880759643502,6.281056740386429,Typica,26.483554456616396,No,1.0884668185427118,369
2020-01-02 04:00:00,Antioquia,1,23.360119001624696,63.67156677523785,1498.0280328808872,5.7269969338183095,Caturra,17.80783681439365,No,0.8538779489504424,201
2020-01-02 05:00:00,Huila,3,21.946013569804045,64.55954839596322,2052.433874981488,6.22502269117577,Castillo,23.50814370437633,Sí,1.036169610175188,270
2020-01-02 06:00:00,Huila,3,23.937372117860498,73.08759355691622,1221.0796927538372,5.62324660131475,Castillo,47.380910396589044,No,1.0700937212128325,421
